method	path	operation_id	tags	openapi_line
POST	/v1/cluster/exec	execClusterPod	[Cluster]	3644
GET	/v1/cluster/dns/resolve	resolveClusterDNS	[Cluster]	3667
GET	/v1/cluster/net/connect	connectClusterNetwork	[Cluster]	3692
POST	/v1/cluster/net/websocket	probeClusterWebSocket	[Cluster]	3716
GET	/v1/cluster/tls/probe	probeClusterTLS	[Cluster]	3739
GET	/v1/cluster/workloads/{namespace}/{kind}/{name}	getClusterWorkload	[Cluster]	3764
GET	/v1/cluster/services/{namespace}/{name}	getClusterService	[Cluster]	3797
GET	/v1/cluster/rollouts/{namespace}/{kind}/{name}	getClusterRolloutStatus	[Cluster]	3825
GET	/v1/nodes	listNodes	[Nodes]	3858
GET	/v1/nodes/{id}	getNode	[Nodes]	3876
GET	/v1/runtimes	listRuntimes	[Runtimes]	3900
POST	/v1/runtimes	createRuntime	[Runtimes]	3923
GET	/v1/runtimes/{id}	getRuntime	[Runtimes]	3948
DELETE	/v1/runtimes/{id}	deleteRuntime	[Runtimes]	3971
GET	/v1/runtimes/{id}/sharing	getRuntimeSharing	[Runtimes]	3994
POST	/v1/runtimes/{id}/sharing/grants	grantRuntimeAccess	[Runtimes]	4013
DELETE	/v1/runtimes/{id}/sharing/grants/{tenant_id}	revokeRuntimeAccess	[Runtimes]	4038
POST	/v1/runtimes/{id}/sharing/mode	setRuntimeAccessMode	[Runtimes]	4058
POST	/v1/runtimes/{id}/public-offer	setRuntimePublicOffer	[Runtimes]	4087
POST	/v1/runtimes/{id}/pool-mode	setRuntimePoolMode	[Runtimes]	4112
GET	/v1/runtimes/enroll-tokens	listEnrollmentTokens	[Runtimes]	4137
POST	/v1/runtimes/enroll-tokens	createEnrollmentToken	[Runtimes]	4154
GET	/v1/backing-services	listBackingServices	[Backing Services]	4179
POST	/v1/backing-services	createBackingService	[Backing Services]	4195
GET	/v1/backing-services/orphans	listManagedPostgresOrphans	[Backing Services]	4220
POST	/v1/backing-services/orphans/{app_id}/adopt	adoptManagedPostgresOrphan	[Backing Services]	4247
GET	/v1/backing-services/{id}	getBackingService	[Backing Services]	4293
DELETE	/v1/backing-services/{id}	deleteBackingService	[Backing Services]	4316
POST	/v1/backing-services/{id}/suspend	suspendBackingService	[Backing Services]	4340
POST	/v1/backing-services/{id}/resume	resumeBackingService	[Backing Services]	4384
GET	/v1/apps	listApps	[Apps]	4432
POST	/v1/apps	createApp	[Apps]	4517
POST	/v1/apps/import-github	importGitHubApp	[Apps]	4542
POST	/v1/templates/inspect-github	inspectGitHubTemplate	[Templates]	4574
POST	/v1/templates/inspect-upload	inspectUploadTemplate	[Templates]	4597
POST	/v1/apps/import-image	importImageApp	[Apps]	4666
POST	/v1/apps/import-upload	importUploadApp	[Apps]	4689
GET	/v1/apps/{id}	getApp	[Apps]	4757
PATCH	/v1/apps/{id}	patchApp	[Apps]	4775
DELETE	/v1/apps/{id}	deleteApp	[Apps]	4799
PATCH	/v1/apps/{id}/source	patchAppSource	[Apps]	4824
GET	/v1/apps/{id}/images	getAppImages	[Apps]	4849
GET	/v1/apps/{id}/image-tracking	getAppImageTracking	[Apps]	4868
PUT	/v1/apps/{id}/image-tracking	putAppImageTracking	[Apps]	4886
GET	/v1/apps/{id}/image-tracking/history	getAppImageTrackingHistory	[Apps]	4911
GET	/v1/apps/{id}/image-tracking/diagnosis	getAppImageTrackingDiagnosis	[Apps]	4936
GET	/v1/apps/{id}/releases	listAppReleases	[Apps]	4955
POST	/v1/apps/{id}/releases	createAppRelease	[Apps]	4973
GET	/v1/apps/{id}/release-attempts	listAppReleaseAttempts	[Apps]	4998
GET	/v1/apps/{id}/release-attempts/{attempt_id}	getAppReleaseAttempt	[Apps]	5029
GET	/v1/apps/{id}/release-attempts/{attempt_id}/timeline	getAppReleaseAttemptTimeline	[Apps]	5053
GET	/v1/apps/{id}/release-attempts/{attempt_id}/evidence	getAppReleaseAttemptEvidence	[Apps]	5077
GET	/v1/apps/{id}/release-attempts/{attempt_id}/debug-bundle	getAppReleaseAttemptDebugBundle	[Apps]	5113
GET	/v1/apps/{id}/traffic	getAppTrafficPolicy	[Apps]	5152
PATCH	/v1/apps/{id}/traffic	patchAppTrafficPolicy	[Apps]	5170
POST	/v1/apps/{id}/releases/{release_id}/probe	probeAppRelease	[Apps]	5195
POST	/v1/apps/{id}/releases/{release_id}/gate/evaluate	evaluateAppReleaseGate	[Apps]	5225
POST	/v1/apps/{id}/releases/{release_id}/promote	promoteAppRelease	[Apps]	5255
POST	/v1/apps/{id}/releases/{release_id}/abort	abortAppRelease	[Apps]	5285
POST	/v1/apps/{id}/image-sync	syncAppImage	[Apps]	5315
POST	/v1/apps/{id}/images/redeploy	redeployAppImage	[Apps]	5346
POST	/v1/apps/{id}/images/delete	deleteAppImage	[Apps]	5371
GET	/v1/apps/{id}/domains	listAppDomains	[Apps]	5396
POST	/v1/apps/{id}/domains	putAppDomain	[Apps]	5414
DELETE	/v1/apps/{id}/domains	deleteAppDomain	[Apps]	5438
GET	/v1/apps/{id}/domains/availability	getAppDomainAvailability	[Apps]	5458
POST	/v1/apps/{id}/domains/verify	verifyAppDomain	[Apps]	5478
GET	/v1/apps/{id}/domains/diagnosis	getAppDomainDiagnosis	[Apps]	5503
POST	/v1/apps/{id}/domains/repair	repairAppDomain	[Apps]	5523
GET	/v1/apps/{id}/route/availability	getAppRouteAvailability	[Apps]	5548
PATCH	/v1/apps/{id}/route	patchAppRoute	[Apps]	5569
POST	/v1/backing-services/{id}/migrate	migrateBackingService	[Backing Services]	5594
POST	/v1/backing-services/{id}/move-project	moveBackingServiceProject	[Backing Services]	5633
POST	/v1/backing-services/{id}/localize	localizeBackingService	[Backing Services]	5658
GET	/v1/apps/{id}/bindings	listAppBindings	[Apps]	5687
POST	/v1/apps/{id}/bindings	createAppBinding	[Apps]	5705
DELETE	/v1/apps/{id}/bindings/{binding_id}	deleteAppBinding	[Apps]	5736
GET	/v1/apps/{id}/resources/recommendation	getAppResourceRecommendation	[Apps]	5765
POST	/v1/apps/{id}/resources/apply-recommendation	applyAppResourceRecommendation	[Apps]	5796
GET	/v1/apps/{id}/build-logs	getAppBuildLogs	[Apps]	5827
GET	/v1/apps/{id}/build-logs/stream	streamAppBuildLogs	[Apps]	5848
GET	/v1/apps/{id}/runtime-logs	getAppRuntimeLogs	[Apps]	5878
GET	/v1/apps/{id}/runtime-logs/stream	streamAppRuntimeLogs	[Apps]	5901
GET	/v1/apps/{id}/runtime-pods	getAppRuntimePods	[Apps]	5932
GET	/v1/apps/{id}/observability/metrics/summary	getAppObservabilityMetricsSummary	[Apps]	5952
GET	/v1/apps/{id}/observability/metrics/query	queryAppObservabilityMetrics	[Apps]	5973
GET	/v1/apps/{id}/observability/logs/query	queryAppObservabilityLogs	[Apps]	6000
GET	/v1/apps/{id}/observability/requests	listAppObservabilityRequests	[Apps]	6033
GET	/v1/apps/{id}/observability/requests/stream	streamAppObservabilityRequests	[Apps]	6061
GET	/v1/apps/{id}/observability/traces/{trace_id}	getAppObservabilityTrace	[Apps]	6097
GET	/v1/apps/{id}/observability/diagnosis	getAppObservabilityDiagnosis	[Apps]	6117
GET	/v1/apps/{id}/rollout/timeline	getAppRolloutTimeline	[Apps]	6138
GET	/v1/apps/{id}/env	getAppEnv	[Apps]	6170
PATCH	/v1/apps/{id}/env	patchAppEnv	[Apps]	6188
GET	/v1/apps/{id}/ssh	getAppSSH	[Apps, SSH]	6213
PATCH	/v1/apps/{id}/ssh	patchAppSSH	[Apps, SSH]	6231
POST	/v1/apps/{id}/ssh/rotate-port	rotateAppSSHPort	[Apps, SSH]	6262
GET	/v1/apps/{id}/ssh/diagnose	diagnoseAppSSH	[Apps, SSH]	6281
POST	/v1/apps/{id}/database/query	queryAppDatabase	[Apps]	6300
GET	/v1/apps/{id}/database/import	getAppDatabaseImport	[Apps]	6325
POST	/v1/apps/{id}/database/import	importAppDatabase	[Apps]	6343
POST	/v1/apps/{id}/database/import/retry	retryAppDatabaseImport	[Apps]	6404
GET	/v1/apps/{id}/database/access	listAppDatabaseAccessGrants	[Apps]	6435
POST	/v1/apps/{id}/database/access	createAppDatabaseAccessGrant	[Apps]	6453
DELETE	/v1/apps/{id}/database/access/{grant_id}	revokeAppDatabaseAccessGrant	[Apps]	6478
GET	/v1/apps/{id}/database/access/{grant_id}/tunnel	connectAppDatabaseAccessTunnel	[Apps]	6502
POST	/v1/apps/{id}/request	requestAppInternalHTTP	[Apps]	6525
POST	/v1/apps/{id}/request-stream	requestAppInternalHTTPStream	[Apps]	6550
GET	/v1/apps/{id}/diagnosis	getAppDiagnosis	[Apps]	6575
GET	/v1/apps/{id}/files	getAppFiles	[Apps]	6600
PUT	/v1/apps/{id}/files	upsertAppFiles	[Apps]	6618
DELETE	/v1/apps/{id}/files	deleteAppFiles	[Apps]	6642
GET	/v1/apps/{id}/filesystem/tree	getAppFilesystemTree	[Apps]	6662
GET	/v1/apps/{id}/filesystem/file	getAppFilesystemFile	[Apps]	6685
PUT	/v1/apps/{id}/filesystem/file	putAppFilesystemFile	[Apps]	6707
POST	/v1/apps/{id}/filesystem/directory	createAppFilesystemDirectory	[Apps]	6734
DELETE	/v1/apps/{id}/filesystem	deleteAppFilesystemPath	[Apps]	6761
POST	/v1/apps/{id}/rebuild	rebuildApp	[Apps]	6784
POST	/v1/apps/{id}/deploy	deployApp	[Apps]	6809
POST	/v1/apps/{id}/restart	restartApp	[Apps]	6838
